order_id,customer_id,product_id,quantity,order_date,delivery_status,payment_method,shipping_cost,order_year,order_month
O001,C111,P027,4,2023-11-13,Cancelled,COD,3.68,2023,11
O002,C088,P122,4,2025-04-18,Delivered,Net Banking,13.9,2025,4
O003,C073,P129,1,2023-07-01,Pending,Debit Card,3.43,2023,7
O004,C092,P122,5,2023-05-27,Delivered,UPI,13.34,2023,5
O005,C066,P046,5,2023-08-21,Pending,Debit Card,6.63,2023,8
O006,C011,P075,5,2023-12-24,Pending,Credit Card,10.71,2023,12
O007,C069,P097,2,2024-08-21,Pending,UPI,3.28,2024,8
O008,C092,P043,1,2024-07-19,Pending,Net Banking,6.88,2024,7
O009,C020,P020,4,2024-07-03,Cancelled,Net Banking,3.37,2024,7
O010,C040,P054,2,2024-05-03,Delivered,Credit Card,8.59,2024,5
O011,C127,P092,5,2023-06-11,Cancelled,Debit Card,11.17,2023,6
O012,C086,P031,4,2024-06-05,Pending,UPI,6.12,2024,6
O013,C129,P085,5,2024-04-29,Cancelled,UPI,13.81,2024,4
O014,C143,P079,2,2024-03-25,Pending,Debit Card,6.77,2024,3
O015,C121,P131,3,2023-12-27,Pending,COD,12.47,2023,12
O016,C040,P038,1,2024-02-16,Cancelled,Net Banking,10.06,2024,2
O017,C133,P028,2,2024-11-09,Cancelled,Net Banking,14.75,2024,11
O018,C029,P069,5,2025-02-28,Delivered,COD,2.65,2025,2
O019,C010,P003,1,2023-05-11,Pending,COD,5.8,2023,5
O020,C116,P095,5,2023-07-22,Cancelled,Debit Card,10.5,2023,7
O021,C059,P041,5,2024-03-25,Cancelled,Credit Card,12.04,2024,3
O022,C131,P044,1,2024-08-06,Cancelled,UPI,13.36,2024,8
O023,C133,P105,5,2024-09-20,Cancelled,UPI,7.42,2024,9
O024,C104,P068,1,2025-04-18,Cancelled,UPI,13.92,2025,4
O025,C044,P113,5,2023-08-04,Delivered,COD,14.05,2023,8
O026,C023,P104,3,2024-12-04,Delivered,Net Banking,13.29,2024,12
O027,C011,P123,5,2023-08-11,Delivered,Debit Card,12.75,2023,8
O028,C126,P142,4,2025-03-10,Pending,Debit Card,3.94,2025,3
O029,C139,P094,2,2023-05-17,Pending,Net Banking,12.73,2023,5
O030,C037,P117,1,2023-07-24,Delivered,COD,6.81,2023,7
O031,C105,P143,1,2024-10-21,Pending,COD,4.6,2024,10
O032,C029,P076,2,2024-03-21,Pending,Credit Card,3.37,2024,3
O033,C015,P036,5,2023-11-01,Cancelled,UPI,1.6,2023,11
O034,C104,P143,5,2023-05-17,Pending,Credit Card,14.07,2023,5
O035,C144,P089,3,2024-08-23,Delivered,Credit Card,4.76,2024,8
O036,C128,P080,3,2023-11-20,Delivered,Credit Card,8.19,2023,11
O037,C131,P088,1,2023-11-14,Delivered,Debit Card,9.24,2023,11
O038,C058,P095,4,2024-02-15,Delivered,UPI,5.39,2024,2
O039,C052,P124,3,2023-07-21,Pending,COD,9.77,2023,7
O040,C031,P103,3,2024-01-15,Cancelled,COD,4.59,2024,1
O041,C096,P092,4,2023-12-05,Pending,Debit Card,14.63,2023,12
O042,C073,P027,4,2024-02-07,Pending,Credit Card,7.52,2024,2
O043,C089,P063,2,2024-08-13,Pending,COD,4.59,2024,8
O044,C099,P100,4,2025-01-05,Cancelled,COD,14.73,2025,1
O045,C145,P057,4,2024-08-29,Cancelled,Debit Card,8.07,2024,8
O046,C081,P133,1,2023-09-17,Delivered,COD,5.78,2023,9
O047,C059,P111,1,2024-11-21,Cancelled,Credit Card,6.99,2024,11
O048,C068,P052,3,2025-01-22,Delivered,Credit Card,3.94,2025,1
O049,C094,P008,2,2024-06-16,Delivered,Credit Card,6.67,2024,6
O050,C002,P034,1,2024-06-16,Cancelled,Net Banking,14.12,2024,6
O051,C052,P021,4,2023-06-08,Delivered,Credit Card,8.52,2023,6
O052,C107,P018,5,2024-01-11,Delivered,UPI,4.56,2024,1
O053,C107,P098,4,2024-05-27,Delivered,COD,4.34,2024,5
O054,C011,P069,1,2024-06-24,Cancelled,Debit Card,11.0,2024,6
